Date,Price,Open,High,Low,Vol.,Change %
7/1/91,387.8,371.2,387.8,370.9,,4.47%
6/1/91,371.2,389.8,389.8,368,,-4.77%
5/1/91,389.8,375.4,389.9,365.8,,3.84%
4/1/91,375.4,375.2,391.3,370.3,,0.05%
3/1/91,375.2,367.1,379.7,363.7,,2.21%
2/1/91,367.1,343.9,371,340.4,,6.75%
1/1/91,343.9,330.2,343.9,309.4,,4.15%
12/1/90,330.2,322.2,334,322,,2.48%
11/1/90,322.2,304,323,301.6,,5.99%
10/1/90,304,306.1,319.7,294.5,,-0.69%
9/1/90,306.1,322.6,326.5,296,,-5.11%
8/1/90,322.6,356.1,357.4,306.2,,-9.41%
7/1/90,356.1,358,369.8,350.1,,-0.53%
6/1/90,358,361.2,368.8,351.2,,-0.89%
5/1/90,361.2,330.8,362.3,330.8,,9.19%
4/1/90,330.8,339.9,347.3,327.8,,-2.68%
3/1/90,339.9,331.9,344.5,331.1,,2.41%
2/1/90,331.9,329.1,336.1,322.1,,0.85%
1/1/90,329.1,353.4,360.6,319.8,,-6.88%
12/1/89,353.4,346,354.1,339.6,,2.14%
11/1/89,346,340.4,346.5,330.9,,1.65%
10/1/89,340.4,349.1,360.4,327.1,,-2.49%
9/1/89,349.1,351.4,354.1,341.4,,-0.65%
8/1/89,351.4,346.1,352.7,339,,1.53%
7/1/89,346.1,318,346.1,317.3,,8.84%
6/1/89,318,320.5,329.2,314.4,,-0.78%
5/1/89,320.5,309.6,323.1,304.1,,3.52%
4/1/89,309.6,294.9,310.4,294.4,,4.98%
3/1/89,294.9,288.9,300,286.5,,2.08%
2/1/89,288.9,297.5,300.6,286.3,,-2.89%
1/1/89,297.5,277.7,297.5,273.8,,7.13%
12/1/88,277.7,273.7,280.4,270.5,,1.46%
11/1/88,273.7,279,280.4,262.9,,-1.90%
10/1/88,279,271.9,283.9,268.8,,2.61%
9/1/88,271.9,261.5,274.9,257,,3.98%
8/1/88,261.5,272,274.2,256.5,,-3.86%
7/1/88,272,273.5,276.4,262.5,,-0.55%
6/1/88,273.5,262.2,276.9,262.1,,4.31%
5/1/88,262.2,261.3,263.7,248.8,,0.34%
4/1/88,261.3,258.9,272.1,254.7,,0.93%
3/1/88,258.9,267.8,272.6,256.1,,-3.32%
2/1/88,267.8,257.1,267.8,247.8,,4.16%
1/1/88,257.1,247.1,261.8,240.2,,4.05%
12/1/87,247.1,230.3,253.3,221.2,,7.29%
11/1/87,230.3,251.8,257.2,225.8,,-8.54%
10/1/87,251.8,321.8,328.9,216.5,,-21.75%
9/1/87,321.8,329.8,332.2,308.6,,-2.43%
8/1/87,329.8,318.7,337.9,314.5,,3.48%
7/1/87,318.7,304,318.9,302.5,,4.84%
6/1/87,304,290.1,310.3,286.9,,4.79%
5/1/87,290.1,288.4,298.7,277,,0.59%
4/1/87,288.4,291.7,303.6,275.7,,-1.13%
3/1/87,291.7,284.2,302.7,282.3,,2.64%
2/1/87,284.2,274.1,287.6,273.2,,3.68%
1/1/87,274.1,242.2,281,242.2,,13.17%
12/1/86,242.2,249.2,254.9,241.3,,-2.81%
11/1/86,249.2,244,249.2,235.5,,2.13%
10/1/86,244,231.3,244.5,231.3,,5.49%
9/1/86,231.3,252.9,254.1,228.1,,-8.54%
8/1/86,252.9,236.1,254.2,231.9,,7.12%
7/1/86,236.1,250.8,253.2,233.1,,-5.86%
6/1/86,250.8,247.3,251.8,238.2,,1.42%
5/1/86,247.3,235.5,249.2,232.3,,5.01%
4/1/86,235.5,238.9,245.5,226.3,,-1.42%
3/1/86,238.9,226.9,240.1,222.2,,5.29%
2/1/86,226.9,211.8,227.9,210.8,,7.13%
1/1/86,211.8,211.3,214.6,202.6,,0.24%
12/1/85,211.3,202.2,213.1,200.1,,4.50%
11/1/85,202.2,189.8,203.4,189.4,,6.53%
10/1/85,189.8,182.1,190.2,181.2,,4.23%
9/1/85,182.1,188.6,188.8,179.4,,-3.45%
8/1/85,188.6,190.9,192.2,186.1,,-1.20%
7/1/85,190.9,191.8,196.1,189.3,,-0.47%
6/1/85,191.8,189.6,191.8,185,,1.16%
5/1/85,189.6,179.8,190,178.3,,5.45%
4/1/85,179.8,180.7,183.6,177.9,,-0.50%
3/1/85,180.7,181.2,183.9,176.5,,-0.28%
2/1/85,181.2,179.6,183.9,177.8,,0.89%
1/1/85,179.6,167.2,180.3,163.4,,7.42%
12/1/84,167.2,163.6,169,161.5,,2.20%
11/1/84,163.6,166.1,170.4,163,,-1.51%
10/1/84,166.1,166.1,169.6,160,,0.00%
9/1/84,166.1,166.7,169.7,163.1,,-0.36%
8/1/84,166.7,150.7,168.8,150.7,,10.62%
7/1/84,150.7,153.2,153.9,147.3,,-1.63%
6/1/84,153.2,150.6,155.6,148.5,,1.73%
5/1/84,150.6,160.1,162.1,148.7,,-5.93%
4/1/84,160.1,159.2,160.7,154.1,,0.57%
3/1/84,159.2,157.1,160.5,153.8,,1.34%
2/1/84,157.1,163.4,164,152.1,,-3.86%
1/1/84,163.4,164.9,169.5,162,,-0.91%
12/1/83,164.9,166.4,167.8,160.6,,-0.90%
11/1/83,166.4,163.6,169.1,160.6,,1.71%
10/1/83,163.6,166.1,173.1,162,,-1.51%
9/1/83,166.1,164.4,171.6,162.8,,1.03%
8/1/83,164.4,162.6,166.7,157.6,,1.11%
7/1/83,162.6,168.1,171.7,160.6,,-3.27%
6/1/83,168.1,162.4,172.8,160,,3.51%
5/1/83,162.4,164.4,167.7,159.7,,-1.22%
4/1/83,164.4,153,165.4,149.5,,7.45%
3/1/83,153,148.1,156.4,144.8,,3.31%
2/1/83,148.1,145.3,151.8,141,,1.93%
1/1/83,145.3,140.6,149.1,137.3,,3.34%
12/1/82,140.6,138.5,144.7,133.8,,1.52%
11/1/82,138.5,133.7,145.3,132.1,,3.59%
10/1/82,133.7,120.4,141.4,119.1,,11.05%
9/1/82,120.4,120,127.3,117.2,,0.75%
8/1/82,119.5,108.2,121.2,101.4,,11.58%
7/1/82,107.1,109.5,113.1,105.1,,-2.28%
6/1/82,109.6,112,113.1,106.3,,-2.06%
5/1/82,111.9,116,120.6,111.2,,-3.87%
4/1/82,116.4,112.2,120.1,111.5,,3.93%
3/1/82,112,113.4,114.8,106.2,,-0.97%
2/1/82,113.1,118.7,119.8,110,,-6.06%
1/1/82,120.4,122.6,123.7,113.6,,-1.79%
12/1/81,122.6,125.7,127.3,121,,-2.93%
11/1/81,126.3,123.5,127,119.1,,3.61%
10/1/81,121.9,115.8,123.3,115,,4.91%
9/1/81,116.2,122.8,124.6,110.2,,-5.37%
8/1/81,122.8,130.7,135.2,122.3,,-6.19%
7/1/81,130.9,130.7,131.8,126,,-0.23%
6/1/81,131.2,133.3,135.7,128.8,,-1.06%
5/1/81,132.6,133.1,134.9,128.8,,-0.15%
4/1/81,132.8,136.4,137.7,131.6,,-2.35%
3/1/81,136,131.1,138.4,128.6,,3.58%
2/1/81,131.3,128.9,132,124.7,,1.31%
1/1/81,129.6,135.7,140.3,128.6,,-4.57%
12/1/80,135.8,139.6,140.7,125.3,,-3.35%
11/1/80,140.5,128,142,127.2,,10.20%
10/1/80,127.5,125.7,135.9,124.3,,1.59%
9/1/80,125.5,122.4,132.2,121.8,,2.53%
8/1/80,122.4,121.4,127.8,119.4,,0.58%
7/1/80,121.7,114.1,123.9,113.5,,6.57%
6/1/80,114.2,110.9,118,109.8,,2.70%
5/1/80,111.2,107.9,112.7,103.5,,4.61%
4/1/80,106.3,106.3,106.8,98.9,,4.11%
3/1/80,102.1,102.1,114.3,94.2,,-10.20%
2/1/80,113.7,115.4,120.2,111.3,,-0.44%
1/1/80,114.2,107.9,117.2,103.3,,5.84%
12/1/79,107.9,107.9,110.3,105.1,,1.60%
11/1/79,106.2,106.2,107.9,99.4,,4.32%
10/1/79,101.8,101.8,112.2,99.1,,-6.86%
9/1/79,109.3,109.1,111.6,105.4,,0.00%
8/1/79,109.3,103.8,109.8,103.1,,5.30%
7/1/79,103.8,102.6,105.2,100.3,,0.87%
6/1/79,102.9,99.1,103.7,98.6,,3.83%
5/1/79,99.1,101.8,102.6,97.5,,-2.65%
4/1/79,101.8,101.1,103.9,100.1,,0.20%
3/1/79,101.6,96.4,103.3,96,,5.50%
2/1/79,96.3,99.5,100.5,95.4,,-3.60%
1/1/79,99.9,95.8,102.6,95.2,,3.95%
12/1/78,96.1,95.6,98.6,92.6,,1.48%
11/1/78,94.7,94.6,97.4,91.8,,1.61%
10/1/78,93.2,102.3,106.2,91.7,,-9.07%
9/1/78,102.5,103.2,108.1,100.7,,-0.77%
8/1/78,103.3,100.9,106.3,99.9,,2.58%
7/1/78,100.7,95.2,101.2,93.6,,5.45%
6/1/78,95.5,97.3,101.8,94,,-1.75%
5/1/78,97.2,96.9,100.3,94.6,,0.41%
4/1/78,96.8,88.8,97.9,88.1,,8.52%
3/1/78,89.2,86.7,91.3,86.4,,2.53%
2/1/78,87,89.3,91.3,86.6,,-2.47%
1/1/78,89.2,94.7,95.2,88,,-6.20%
12/1/77,95.1,95.1,95.7,91.8,,0.32%
11/1/77,94.8,94.8,97.1,90,,2.71%
10/1/77,92.3,92.3,97.3,90.2,,-4.35%
9/1/77,96.5,96.5,98.4,94.4,,-0.31%
8/1/77,96.8,96.8,99.8,95,,-2.02%
7/1/77,98.8,98.8,102.6,97.7,,-1.69%
6/1/77,100.5,100.5,101.7,95.9,,4.58%
5/1/77,96.1,96.1,100.9,95.5,,-2.34%
4/1/77,98.4,98.4,102.1,96.5,,0.00%
3/1/77,98.4,98.4,102.7,97.8,,-1.40%
2/1/77,99.8,99.8,103.3,98.8,,-2.16%
1/1/77,102,102,108,100.9,,-5.12%
12/1/76,107.5,107.5,107.8,101.6,,5.29%
11/1/76,102.1,102.1,103.8,98.2,,-0.78%
10/1/76,102.9,102.9,105.8,99.2,,-2.19%
9/1/76,105.2,105.2,108.7,102.6,,2.24%
8/1/76,102.9,102.9,105.4,100.4,,-0.48%
7/1/76,103.4,103.4,106.8,102.3,,-0.86%
6/1/76,104.3,104.3,105.1,98,,4.09%
5/1/76,100.2,100.2,104,98.3,,-1.38%
4/1/76,101.6,101.6,104.6,99.6,,-1.17%
3/1/76,102.8,102.8,104.4,98.2,,3.11%
2/1/76,99.7,99.7,103.1,98.5,,-1.19%
1/1/76,100.9,100.9,102,89.8,,11.86%
12/1/75,90.2,90.2,91.9,86.2,,-1.10%
11/1/75,91.2,91.2,92.3,87.6,,2.47%
10/1/75,89,89,91.8,82.6,,6.08%
9/1/75,83.9,83.9,87.4,81.6,,-3.45%
8/1/75,86.9,86.9,89,82.2,,-2.14%
7/1/75,88.8,88.8,96.6,87.7,,-6.72%
6/1/75,95.2,95.2,95.8,89.3,,4.39%
5/1/75,91.2,91.2,93.5,86.9,,4.47%
4/1/75,87.3,87.3,88.8,79.7,,4.68%
3/1/75,83.4,83.4,87.1,80.1,,2.21%
2/1/75,81.6,81.6,83.6,76,,5.97%
1/1/75,77,77,78.7,68.7,,12.24%
12/1/74,68.6,68.6,68.6,68.6,,-2.00%
11/1/74,70,70,70,70,,-5.28%
10/1/74,73.9,73.9,73.9,73.9,,16.38%
9/1/74,63.5,63.5,63.5,63.5,,-12.05%
8/1/74,72.2,72.2,72.2,72.2,,-8.95%
7/1/74,79.3,79.3,79.3,79.3,,-7.79%
6/1/74,86,86,86,86,,-1.49%
5/1/74,87.3,87.3,87.3,87.3,,-3.32%
4/1/74,90.3,90.3,90.3,90.3,,-3.94%
3/1/74,94,94,94,94,,-2.29%
2/1/74,96.2,96.2,96.2,96.2,,-0.41%
1/1/74,96.6,96.6,96.6,96.6,,-0.92%
12/1/73,97.5,97.5,97.5,97.5,,1.56%
11/1/73,96,96,96,96,,-11.36%
10/1/73,108.3,108.3,108.3,108.3,,-0.09%
9/1/73,108.4,108.4,108.4,108.4,,4.03%
8/1/73,104.2,104.2,104.2,104.2,,-3.70%
7/1/73,108.2,108.2,108.2,108.2,,3.74%
6/1/73,104.3,104.3,104.3,104.3,,-0.67%
5/1/73,105,105,105,105,,-1.87%
4/1/73,107,107,107,107,,-4.04%
3/1/73,111.5,111.5,111.5,111.5,,-0.18%
2/1/73,111.7,111.7,111.7,111.7,,-3.71%
1/1/73,116,116,116,116,,-1.69%
12/1/72,118,118,118,118,,1.11%
11/1/72,116.7,116.7,116.7,116.7,,4.57%
10/1/72,111.6,111.6,111.6,111.6,,1.00%
9/1/72,110.5,110.5,110.5,110.5,,-0.54%
8/1/72,111.1,111.1,111.1,111.1,,3.45%
7/1/72,107.4,107.4,107.4,107.4,,0.28%
6/1/72,107.1,107.1,107.1,107.1,,-2.19%
5/1/72,109.5,109.5,109.5,109.5,,1.67%
4/1/72,107.7,107.7,107.7,107.7,,0.47%
3/1/72,107.2,107.2,107.2,107.2,,0.56%
2/1/72,106.6,106.6,106.6,106.6,,2.60%
1/1/72,103.9,103.9,103.9,103.9,,1.76%
12/1/71,102.1,102.1,102.1,102.1,,8.62%
11/1/71,94,94,94,94,,-0.21%
10/1/71,94.2,94.2,94.2,94.2,,-4.17%
9/1/71,98.3,98.3,98.3,98.3,,-0.71%
8/1/71,99,99,99,99,,3.56%
7/1/71,95.6,95.6,95.6,95.6,,-4.11%
6/1/71,99.7,99.7,99.7,99.7,,0.10%
5/1/71,99.6,99.6,99.6,99.6,,-4.23%
4/1/71,104,104,104,104,,3.69%
3/1/71,100.3,100.3,100.3,100.3,,3.62%
2/1/71,96.8,96.8,96.8,96.8,,0.94%
1/1/71,95.9,95.9,95.9,95.9,,4.01%
12/1/70,92.2,92.2,92.2,92.2,,5.73%
11/1/70,87.2,87.2,87.2,87.2,,4.81%
10/1/70,83.2,83.2,83.2,83.2,,-1.19%
9/1/70,84.2,84.2,84.2,84.2,,3.31%
8/1/70,81.5,81.5,81.5,81.5,,4.49%
7/1/70,78,78,78,78,,7.29%
6/1/70,72.7,72.7,72.7,72.7,,-4.97%
5/1/70,76.5,76.5,76.5,76.5,,-6.13%
4/1/70,81.5,81.5,81.5,81.5,,-9.04%
3/1/70,89.6,89.6,89.6,89.6,,0.11%
2/1/70,89.5,89.5,89.5,89.5,,5.29%
